Date : 2025-04-25 09:11:06
Directory : /home/winchenbach/dev/torchCompactRadius
Total : 148 files,  15018 codes, 2600 comments, 1705 blanks, all 19323 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JSON         |          4 |      6,436 |          0 |          4 |      6,440 |
| Python       |         28 |      3,385 |        643 |        680 |      4,708 |
| C++          |         34 |      2,921 |      1,465 |        508 |      4,894 |
| CUDA C++     |         15 |        808 |        385 |        140 |      1,333 |
| YAML         |          9 |        801 |          0 |        128 |        929 |
| Shell Script |         46 |        449 |         83 |        184 |        716 |
| Markdown     |          2 |        145 |         24 |         60 |        229 |
| HTML         |          9 |         73 |          0 |          0 |         73 |
| Log          |          1 |          0 |          0 |          1 |          1 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        148 |     15,018 |      2,600 |      1,705 |     19,323 |
| . (Files)                                                                                                                |         15 |      7,079 |        113 |        182 |      7,374 |
| .github                                                                                                                  |         49 |      1,081 |         73 |        275 |      1,429 |
| .github/workflows                                                                                                        |         49 |      1,081 |         73 |        275 |      1,429 |
| .github/workflows (Files)                                                                                                |          8 |        768 |          0 |        120 |        888 |
| .github/workflows/cuda                                                                                                   |         41 |        313 |         73 |        155 |        541 |
| bak                                                                                                                      |          7 |        755 |         92 |        109 |        956 |
| conda                                                                                                                    |          3 |         92 |          1 |         15 |        108 |
| conda/torchCompactRadius                                                                                                 |          3 |         92 |          1 |         15 |        108 |
| scripts                                                                                                                  |          4 |        524 |        120 |         99 |        743 |
| src                                                                                                                      |         62 |      5,415 |      2,201 |      1,025 |      8,641 |
| src/torchCompactRadius                                                                                                   |         62 |      5,415 |      2,201 |      1,025 |      8,641 |
| src/torchCompactRadius (Files)                                                                                           |          5 |        785 |        114 |        159 |      1,058 |
| src/torchCompactRadius/compactHashing                                                                                    |          5 |        495 |        170 |         89 |        754 |
| src/torchCompactRadius/cppSrc                                                                                            |         41 |      2,834 |      1,698 |        510 |      5,042 |
| src/torchCompactRadius/cppSrc (Files)                                                                                    |         15 |        933 |      1,475 |        260 |      2,668 |
| src/torchCompactRadius/cppSrc/multiLevelMemory                                                                           |         13 |        846 |        221 |        129 |      1,196 |
| src/torchCompactRadius/cppSrc/sparseOperations                                                                           |         13 |      1,055 |          2 |        121 |      1,178 |
| src/torchCompactRadius/multiLevelMemory                                                                                  |          6 |        647 |         44 |        137 |        828 |
| src/torchCompactRadius/searchAlgorithms                                                                                  |          5 |        654 |        175 |        130 |        959 |
| wheels                                                                                                                   |          8 |         72 |          0 |          0 |         72 |
| wheels/torch-2.5.0+cpu                                                                                                   |          1 |         13 |          0 |          0 |         13 |
| wheels/torch-2.5.0+cu118                                                                                                 |          1 |          9 |          0 |          0 |          9 |
| wheels/torch-2.5.0+cu121                                                                                                 |          1 |          9 |          0 |          0 |          9 |
| wheels/torch-2.5.0+cu124                                                                                                 |          1 |          9 |          0 |          0 |          9 |
| wheels/torch-2.5.1+cpu                                                                                                   |          1 |          8 |          0 |          0 |          8 |
| wheels/torch-2.5.1+cu118                                                                                                 |          1 |          8 |          0 |          0 |          8 |
| wheels/torch-2.5.1+cu121                                                                                                 |          1 |          8 |          0 |          0 |          8 |
| wheels/torch-2.5.1+cu124                                                                                                 |          1 |          8 |          0 |          0 |          8 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                 | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-conda-macos.yml                                      | YAML         |         64 |          0 |         12 |         76 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-conda-ubuntu.yml                                     | YAML         |         64 |          0 |         12 |         76 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-conda-windows.yml                                    | YAML         |         64 |          0 |         12 |         76 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-conda.yml                                            | YAML         |         64 |          0 |         12 |         76 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-macos.yml                                            | YAML         |        128 |          0 |         18 |        146 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-ubuntu.yml                                           | YAML         |        128 |          0 |         18 |        146 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building-windows.yml                                          | YAML         |        128 |          0 |         18 |        146 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/building.yml                                                  | YAML         |        128 |          0 |         18 |        146 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cpu-Linux-env.sh                                         | Shell Script |          3 |          1 |          3 |          7 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu101-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu101-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu101-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu101-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu102-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu102-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu102-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu102-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu111-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu111-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu111-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu111-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu113-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu113-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu113-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu113-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu115-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu115-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu115-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu115-Windows.sh                                         | Shell Script |         11 |          5 |          5 |         21 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu116-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu116-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu116-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu116-Windows.sh                                         | Shell Script |         11 |          5 |          5 |         21 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu117-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu117-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu117-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu117-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Linux-env.sh                                       | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Linux.sh                                           | Shell Script |         10 |          1 |          5 |         16 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Windows-env.sh                                     | Shell Script |          5 |          1 |          3 |          9 |
| /home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Windows.sh                                         | Shell Script |         11 |          4 |          4 |         19 |
| /home/winchenbach/dev/torchCompactRadius/Benchmark.ipynb                                                                 | JSON         |      1,244 |          0 |          1 |      1,245 |
| /home/winchenbach/dev/torchCompactRadius/README.md                                                                       | Markdown     |        142 |         24 |         59 |        225 |
| /home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm.h                                                     | C++          |        152 |          7 |         23 |        182 |
| /home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm_cpu.cpp                                               | C++          |         43 |          3 |          9 |         55 |
| /home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm_cuda.cu                                               | CUDA C++     |         19 |          0 |          4 |         23 |
| /home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm.h                                                        | C++          |        140 |         60 |         29 |        229 |
| /home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm_cpu.cpp                                                  | C++          |         45 |          1 |          6 |         52 |
| /home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm_cuda.cu                                                  | CUDA C++     |         19 |          0 |          4 |         23 |
| /home/winchenbach/dev/torchCompactRadius/bak/mlmUtil.h                                                                   | C++          |        337 |         21 |         34 |        392 |
| /home/winchenbach/dev/torchCompactRadius/build.sh                                                                        | Shell Script |         44 |          8 |         11 |         63 |
| /home/winchenbach/dev/torchCompactRadius/build2.sh                                                                       | Shell Script |         14 |          1 |          7 |         22 |
| /home/winchenbach/dev/torchCompactRadius/conda/torchCompactRadius/README.md                                              | Markdown     |          3 |          0 |          1 |          4 |
